Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	"Phillyrea,"	Picea	Pinus.D	Pinus.H	Pistacia	Quercus.D	Quercus.E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales	Gramineae
0	0	25	0	0	0	1	0	0	3	1	0	0	0	0	130	0	0	9	0	2	0	0	25	7	7	8	112
0	0	9	0	0	0	0	2	0	7	0	0	0	0	0	172	0	0	3	0	0	0	0	30	5	0	6	98
0	0	15	0	2	0	1	0	0	2	0	0	0	0	0	155	0	0	10	0	0	0	0	19	5	6	1	99
0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	205	0	0	39	0	0	0	0	8	1	0	1	82
0	0	50	3	0	0	5	0	0	20	0	1	0	0	1	209	0	0	45	0	1	0	0	6	2	1	3	76
0	0	49	0	0	0	1	0	0	12	0	0	0	0	0	263	0	0	33	0	0	0	0	10	0	4	2	63
0	0	38	0	0	0	1	0	0	10	0	0	0	0	0	202	0	0	16	0	1	0	0	5	0	5	2	53
0	2	79	0	2	0	2	0	0	7	0	0	0	0	0	278	0	0	9	0	0	0	0	8	2	2	3	52
0	0	110	0	0	0	7	0	0	4	0	0	0	0	0	177	0	0	8	0	0	0	0	13	0	1	10	67
0	0	14	0	0	0	1	2	0	6	0	0	0	0	0	80	0	0	1	0	3	0	0	31	6	3	7	145
0	0	1	0	0	0	0	2	0	5	0	0	0	0	0	71	0	0	1	0	0	0	0	70	10	1	5	157
0	0	5	0	1	0	0	1	0	10	0	0	0	0	0	73	0	0	0	0	1	0	0	46	15	0	5	114
0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	125	0	0	1	0	1	0	0	79	13	3	6	120
0	0	2	0	2	0	1	1	0	17	0	0	0	0	0	95	0	0	1	0	0	0	0	77	21	2	1	105
0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	135	24	2	8	88
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	0	0	1	0	1	0	0	149	33	0	11	51
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	62	15	3	2	85
