id	Age	sd	Depth	Thickness	Outlier1	Outlier2	Type			
Roya_1	1260	60	92.00	4.00	0.05	0.001	1
Roya_2	1690	70	124.00	4.00	0.05	0.001	1
Roya_3	3670	60	254.00	4.00	0.05	0.001	1
Roya_4	5230	50	422.00	4.00	0.05	0.001	1
Roya_5	10290	60	700.00	4.00	0.05	0.001	1
Roya_6	12940	60	772.00	4.00	0.05	0.001	1
